Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,total,Hygiene,2008,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2008,100,379611,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2008,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2008,100,707813,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2008,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2008,100,4072972,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2008,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2008,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2008,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2008,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2008,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2008,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2008,100,4780785,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2008,100,2225908,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2008,100,2175266,Basic service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2008,100,379611,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2008,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2008,100,707813,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2008,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2008,100,4072972,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2008,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2008,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2009,100,4789685,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2009,100,2235445,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2009,100,2166742,Basic service
sdg,Australia and New Zealand,total,Hygiene,2009,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2009,100,387498,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2009,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2009,100,705060,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2009,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2009,100,4084626,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2009,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2009,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2009,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2009,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2009,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2009,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2009,100,4789685,Basic service
